"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"212","Los Angeles Chargers","DST","LAC","0","5","8","14","BYE","","","","","","","","","","","","","","6.8","27"
"214","Calvin Austin III","WR","PIT","6.7","1.3","14.2","4.4","0","","","","","","","","","","","","","","5.3","26.6"
"215","KaVontae Turpin","WR","DAL","9.5","2","0","5.6","9.1","","","","","","","","","","","","","","5.2","26.2"
"216","Denver Broncos","DST","DEN","3","0","2","13","8","","","","","","","","","","","","","","5.2","26"
"217","Jerick McKinnon","RB","KC","1.5","3.7","16.3","0.7","3.5","","","","","","","","","","","","","","5.1","25.7"
"218","Joshua Palmer","WR","LAC","0.9","2.8","12.6","9.2","BYE","","","","","","","","","","","","","","6.4","25.5"
"218","Michael Gallup","WR","DAL","1.5","0.8","12.2","8.5","2.5","","","","","","","","","","","","","","5.1","25.5"
"220","Skyy Moore","WR","KC","0.4","14.5","6.2","1.9","2.1","","","","","","","","","","","","","","5","25.1"
"221","Justin Watson","WR","KC","5.5","5.7","6.1","1","6.6","","","","","","","","","","","","","","5","24.9"
"221","Luke Musgrave","TE","GB","6.5","3.5","7.9","0.6","6.4","","","","","","","","","","","","","","5","24.9"
"223","Javonte Williams","RB","DEN","7.7","6.8","7.5","2.4","-","","","","","","","","","","","","","","6.1","24.4"
"223","Austin Ekeler","RB","LAC","24.4","-","-","-","BYE","","","","","","","","","","","","","","24.4","24.4"
"225","Noah Gray","TE","KC","4.6","5.3","1.4","9.9","3.1","","","","","","","","","","","","","","4.9","24.3"
"225","Ezekiel Elliott","RB","NE","4.8","1.3","9.2","3.2","5.8","","","","","","","","","","","","","","4.9","24.3"
"227","Donald Parham Jr.","TE","LAC","9.7","1.2","13.4","0","BYE","","","","","","","","","","","","","","6.1","24.3"
"228","Matt Breida","RB","NYG","1.1","0.5","9.3","10.3","2.9","","","","","","","","","","","","","","4.8","24.1"
"229","Daniel Carlson","K","LV","5","5","4","5","5","","","","","","","","","","","","","","4.8","24"
"229","New England Patriots","DST","NE","6","5","9","3","1","","","","","","","","","","","","","","4.8","24"
"231","Zay Jones","WR","JAC","14","0","-","-","9.8","","","","","","","","","","","","","","7.9","23.8"
"232","Andy Dalton","QB","CAR","-","-","23.5","-","0.1","","","","","","","","","","","","","","11.8","23.6"
"233","Darius Slayton","WR","NYG","3","7.7","4.7","3.3","4.5","","","","","","","","","","","","","","4.6","23.2"
"234","Tony Jones Jr.","RB","NO","0.5","15.4","7.2","-","-","","","","","","","","","","","","","","7.7","23.1"
"235","Rico Dowdle","RB","DAL","2.4","4.8","12.1","2.2","1.5","","","","","","","","","","","","","","4.6","23"
"236","Kylen Granson","TE","IND","5.9","9.1","1.9","3.4","2.5","","","","","","","","","","","","","","4.6","22.8"
"237","Kenneth Gainwell","RB","PHI","9.4","-","5.3","5.1","2.9","","","","","","","","","","","","","","5.7","22.7"
"238","Hayden Hurst","TE","CAR","12.6","3.5","1.6","1.2","3.6","","","","","","","","","","","","","","4.5","22.5"
"239","Allen Robinson II","WR","PIT","8.9","2.2","4.4","1.3","5.4","","","","","","","","","","","","","","4.4","22.2"
